video,codec,target_bitrate,target_bitrate_kbps,actual_bitrate_kbps,width,height,resolution,fps,duration_s,original_size_kb,encoded_size_kb,compression_ratio,bitrate_savings_pct,encoding_time_s,psnr_mean,psnr_std,ssim_mean,ssim_std,motion_complexity,frames_compared
Jellyfish_720p,H264,4M,4000,3892.641,1280,720,1280x720,29.97,10.01001,2047.7,4756.52,0.431,-132.29,7.942,44.234,0.707,0.98807,0.00134,1.2047,50
Jellyfish_720p,H264,8M,8000,7809.238,1280,720,1280x720,29.97,10.01001,2047.7,9542.3,0.215,-366.0,9.992,47.38,0.539,0.99284,0.00059,1.2047,50
Jellyfish_720p,H265,500k,500,492.224,1280,720,1280x720,29.97,10.01001,2047.7,601.46,3.405,70.63,4.224,34.936,0.565,0.93208,0.00493,1.2047,50
Jellyfish_720p,H265,1M,1000,982.296,1280,720,1280x720,29.97,10.01001,2047.7,1200.29,1.706,41.38,6.235,38.548,0.818,0.96336,0.00385,1.2047,50
Jellyfish_720p,H265,2M,2000,1960.21,1280,720,1280x720,29.97,10.01001,2047.7,2395.23,0.855,-16.97,10.665,42.158,0.843,0.98034,0.00228,1.2047,50
Jellyfish_720p,H265,4M,4000,3933.811,1280,720,1280x720,29.97,10.01001,2047.7,4806.82,0.426,-134.74,19.59,45.667,0.734,0.98929,0.00123,1.2047,50
Jellyfish_720p,H265,8M,8000,7915.729,1280,720,1280x720,29.97,10.01001,2047.7,9672.43,0.212,-372.36,18.118,48.557,0.702,0.99355,0.00078,1.2047,50
Sintel_360p,MPEG4,500k,500,608.925,640,360,640x360,24.0,10.0,1023.06,743.32,1.376,27.34,0.177,37.694,3.127,0.93928,0.02601,3.4169,60
Sintel_360p,MPEG4,1M,1000,1086.4,640,360,640x360,24.0,10.0,1023.06,1326.17,0.771,-29.63,0.296,42.052,2.211,0.97076,0.01038,3.4169,60
Sintel_360p,MPEG4,2M,2000,2059.783,640,360,640x360,24.0,10.0,1023.06,2514.38,0.407,-145.77,0.2,45.871,0.731,0.98612,0.00186,3.4169,60
Sintel_360p,MPEG4,4M,4000,2091.372,640,360,640x360,24.0,10.0,1023.06,2552.95,0.401,-149.54,0.166,45.942,0.651,0.98635,0.00155,3.4169,60
Sintel_360p,MPEG4,8M,8000,2091.372,640,360,640x360,24.0,10.0,1023.06,2552.95,0.401,-149.54,0.18,45.942,0.651,0.98635,0.00155,3.4169,60
Sintel_360p,H264,500k,500,536.884,640,360,640x360,24.0,10.0,1023.06,655.38,1.561,35.94,1.018,41.944,2.007,0.97932,0.00662,3.4169,60
Sintel_360p,H264,1M,1000,1072.429,640,360,640x360,24.0,10.0,1023.06,1309.12,0.781,-27.96,1.412,46.572,1.533,0.98989,0.00226,3.4169,60
Sintel_360p,H264,2M,2000,2088.348,640,360,640x360,24.0,10.0,1023.06,2549.25,0.401,-149.18,1.607,49.691,1.312,0.99382,0.00136,3.4169,60
Sintel_360p,H264,4M,4000,4204.84,640,360,640x360,24.0,10.0,1023.06,5132.86,0.199,-401.72,1.87,53.221,1.802,0.99699,0.00105,3.4169,60
Sintel_360p,H264,8M,8000,7894.999,640,360,640x360,24.0,10.0,1023.06,9637.45,0.106,-842.02,2.132,60.761,1.49,0.9994,0.00031,3.4169,60
Sintel_360p,H265,500k,500,567.86,640,360,640x360,24.0,10.0,1023.06,693.19,1.476,32.24,4.178,43.328,1.569,0.98152,0.00515,3.4169,60
Sintel_360p,H265,1M,1000,1116.459,640,360,640x360,24.0,10.0,1023.06,1362.87,0.751,-33.21,4.645,46.779,1.389,0.98918,0.00246,3.4169,60
Sintel_360p,H265,2M,2000,2181.121,640,360,640x360,24.0,10.0,1023.06,2662.5,0.384,-160.25,5.978,49.833,1.223,0.99355,0.0013,3.4169,60
Sintel_360p,H265,4M,4000,4160.772,640,360,640x360,24.0,10.0,1023.06,5079.07,0.201,-396.46,6.601,52.977,1.377,0.99646,0.001,3.4169,60
Sintel_360p,H265,8M,8000,7513.201,640,360,640x360,24.0,10.0,1023.06,9171.39,0.112,-796.47,8.675,58.456,2.931,0.9987,0.0012,3.4169,60
Sintel_720p,MPEG4,500k,500,1243.04,1280,720,1280x720,24.0,10.0,2045.1,1517.38,1.348,25.8,0.38,35.866,2.407,0.90539,0.02903,3.0884,60
Sintel_720p,MPEG4,1M,1000,1357.662,1280,720,1280x720,24.0,10.0,2045.1,1657.3,1.234,18.96,0.394,36.766,3.385,0.91282,0.03752,3.0884,60
Sintel_720p,MPEG4,2M,2000,2062.503,1280,720,1280x720,24.0,10.0,2045.1,2517.7,0.812,-23.11,0.392,41.501,2.692,0.96628,0.0137,3.0884,60
Sintel_720p,MPEG4,4M,4000,4062.688,1280,720,1280x720,24.0,10.0,2045.1,4959.34,0.412,-142.5,0.458,46.749,1.319,0.98691,0.00349,3.0884,60
Sintel_720p,MPEG4,8M,8000,5010.878,1280,720,1280x720,24.0,10.0,2045.1,6116.79,0.334,-199.09,0.474,47.805,0.698,0.98956,0.00146,3.0884,60
Sintel_720p,H264,500k,500,546.158,1280,720,1280x720,24.0,10.0,2045.1,666.7,3.068,67.4,2.306,38.165,1.688,0.96431,0.01239,3.0884,60
Sintel_720p,H264,1M,1000,1074.848,1280,720,1280x720,24.0,10.0,2045.1,1312.07,1.559,35.84,3.813,42.803,1.635,0.98168,0.00611,3.0884,60
Sintel_720p,H264,2M,2000,2120.362,1280,720,1280x720,24.0,10.0,2045.1,2588.33,0.79,-26.56,5.025,47.49,1.238,0.99106,0.002,3.0884,60
Sintel_720p,H264,4M,4000,4133.334,1280,720,1280x720,24.0,10.0,2045.1,5045.57,0.405,-146.71,5.628,50.24,0.978,0.99395,0.00109,3.0884,60
Sintel_720p,H264,8M,8000,8180.408,1280,720,1280x720,24.0,10.0,2045.1,9985.85,0.205,-388.28,5.898,52.677,0.982,0.99624,0.00075,3.0884,60
Sintel_720p,H265,500k,500,603.33,1280,720,1280x720,24.0,10.0,2045.1,736.49,2.777,63.99,7.609,42.023,1.486,0.9775,0.00673,3.0884,60
Sintel_720p,H265,1M,1000,1183.911,1280,720,1280x720,24.0,10.0,2045.1,1445.2,1.415,29.33,9.032,45.286,1.319,0.98594,0.00349,3.0884,60
Sintel_720p,H265,2M,2000,2320.896,1280,720,1280x720,24.0,10.0,2045.1,2833.13,0.722,-38.53,12.602,48.244,1.177,0.99103,0.00185,3.0884,60
Sintel_720p,H265,4M,4000,4555.534,1280,720,1280x720,24.0,10.0,2045.1,5560.96,0.368,-171.92,13.31,50.858,1.094,0.99416,0.00117,3.0884,60
Sintel_720p,H265,8M,8000,8781.748,1280,720,1280x720,24.0,10.0,2045.1,10719.91,0.191,-424.17,16.923,53.46,1.19,0.99642,0.00087,3.0884,60
